cos_i_ring,theta_ring_deg,p_true,b_true,PR
0.802,83.25,0.059838991400279685,0.6146299731720275,-1.3977514901087087
0.802,84.0,0.059838991400279685,0.614672132734093,-1.397211460445518
0.802,84.75,0.059838991400279685,0.6147092019621517,-1.3967367272541833
0.802,85.5,0.059838991400279685,0.6147412293044539,-1.3963266359580175
0.802,86.25,0.059838991400279685,0.6147682570472699,-1.3959806147471119
0.802,87.0,0.059838991400279685,0.6147903211870333,-1.395698176513216
0.802,87.75,0.059838991400279685,0.6148074513223245,-1.3954789204854288
0.802,88.5,0.059838991400279685,0.6148196705656326,-1.3953225335675357
0.802,89.25,0.059838991400279685,0.614826995474793,-1.3952287913773578
0.802,90.0,0.059838991400279685,0.6148294360040651,-1.3951975589888865
