# rho_grid_gcc rho_cdf
7.671535783250653662e-01 7.191563077179887453e-06
7.672527572740005519e-01 7.224509837359845042e-06
7.673519362229356267e-01 7.257446938545415503e-06
7.674511151718708124e-01 7.290374349022122515e-06
7.675502941208059982e-01 7.323292040302565007e-06
7.676494730697411839e-01 7.356199987132614052e-06
7.677486520186763697e-01 7.389098167497196408e-06
7.678478309676115554e-01 7.421986562625875615e-06
7.679470099165467412e-01 7.454865156998241670e-06
7.680461888654819269e-01 7.487733938349019482e-06
7.681453678144170016e-01 7.520592897672946083e-06
7.682445467633521874e-01 7.553442029229603805e-06
7.683437257122873731e-01 7.586281330547617323e-06
7.684429046612225589e-01 7.619110802429029429e-06
7.685420836101577446e-01 7.651930448953227876e-06
7.686412625590929304e-01 7.684740277480712984e-06
7.687404415080281161e-01 7.717540298656574705e-06
7.688396204569631909e-01 7.750330526413751162e-06
7.689387994058983766e-01 7.783110977976230433e-06
7.690379783548335624e-01 7.815881673861606896e-06
7.691371573037687481e-01 7.848642637883823921e-06
7.692363362527039339e-01 7.881393897155449004e-06
7.693355152016391196e-01 7.914135482089801508e-06
7.694346941505743054e-01 7.946867426402797507e-06
7.695338730995094911e-01 7.979589767114574390e-06
7.696330520484445659e-01 8.012302544550837645e-06
7.697322309973797516e-01 8.045005802344178846e-06
7.698314099463149374e-01 8.077699587434738026e-06
7.699305888952501231e-01 8.110383950071049021e-06
7.700297678441853089e-01 8.143058943810424022e-06
7.701289467931204946e-01 8.175724625519156861e-06
7.702281257420556804e-01 8.208381055372475580e-06
7.703273046909908661e-01 8.241028296854261212e-06
7.704264836399259408e-01 8.273666416756487050e-06
7.705256625888611266e-01 8.306295485178608780e-06
7.706248415377963124e-01 8.338915575526344756e-06
7.707240204867314981e-01 8.371526764510581629e-06
7.708231994356666839e-01 8.404129132145853081e-06
7.709223783846018696e-01 8.436722761748622040e-06
7.710215573335370554e-01 8.469307739935317257e-06
7.711207362824721301e-01 8.501884156620103915e-06
7.712199152314073158e-01 8.534452105012581397e-06
7.713190941803425016e-01 8.567011681614893203e-06
7.714182731292776873e-01 8.599562986218943608e-06
7.715174520782128731e-01 8.632106121903199259e-06
7.716166310271480588e-01 8.664641195029302738e-06
7.717158099760832446e-01 8.697168315238399831e-06
7.718149889250184303e-01 8.729687595447324489e-06
7.719141678739536161e-01 8.762199151844399239e-06
7.720133468228886908e-01 8.794703103885089903e-06
7.721125257718238766e-01 8.827199574287551904e-06
7.722117047207590623e-01 8.859688689027558225e-06
7.723108836696942481e-01 8.892170577333571380e-06
7.724100626186294338e-01 8.924645371681405405e-06
7.725092415675646196e-01 8.957113207788667633e-06
7.726084205164998053e-01 8.989574224608959903e-06
7.727075994654348801e-01 9.022028564325817193e-06
7.728067784143700658e-01 9.054476372346603903e-06
7.729059573633052516e-01 9.086917797295771470e-06
7.730051363122404373e-01 9.119352991008276922e-06
7.731043152611756231e-01 9.151782108522559282e-06
7.732034942101108088e-01 9.184205308073349952e-06
7.733026731590459946e-01 9.216622751084206966e-06
7.734018521079811803e-01 9.249034602159840869e-06
7.735010310569162550e-01 9.281441029078157690e-06
7.736002100058514408e-01 9.313842202782257870e-06
7.736993889547866265e-01 9.346238297371835488e-06
7.737985679037218123e-01 9.378629490094714710e-06
7.738977468526569981e-01 9.411015961337944083e-06
7.739969258015921838e-01 9.443397894618731588e-06
7.740961047505273696e-01 9.475775476575135748e-06
7.741952836994625553e-01 9.508148896956504322e-06
7.742944626483976300e-01 9.540518348613684295e-06
7.743936415973328158e-01 9.572884027489167501e-06
